AX,AY,AZ,GX,GY,GZ,Result
0.63,-0.39,-0.4,0.17,0.14,0.44,1
-0.67,0.56,-0.13,-1.14,2.1,0.42,1
-3.96,-1.48,-6.07,-2.28,1.81,0.52,1
-5.24,-1.32,-10.04,-1.88,0.92,0.57,1
-4.67,0.86,-9.24,-1.91,0.63,0.31,1
-2.97,3.67,-9.22,-1.43,0.31,-0.32,1
-3.95,4.51,-11.33,-1.02,0.39,-0.44,1
-3.67,4.42,-12.81,-0.45,0.02,-0.68,1
-2.82,6.91,-13.53,-0.26,0.35,-0.72,1
-3.89,6.21,-12.88,-0.58,0.14,-0.57,1
0.0,0.0,0.0,-0.89,0.24,-0.4,1
0.0,0.0,0.0,-0.53,0.0,-0.43,1
0.0,0.0,0.0,-0.59,-0.14,-0.36,1
-3.48,9.43,-11.25,-0.28,0.1,-0.34,1
-2.22,9.05,-14.13,-0.09,0.16,-0.59,1
-1.92,9.21,-12.62,-0.17,0.53,-0.85,1
-1.37,10.16,-14.2,-0.19,0.63,-0.77,1
-1.46,10.6,-13.71,-0.22,0.25,-0.37,1
-2.99,10.38,-13.91,-0.02,0.19,-0.57,1
-2.59,9.57,-13.9,0.04,0.29,-0.76,1
-2.87,10.95,-14.3,-0.16,0.33,-0.7,1
-3.72,10.6,-13.59,-0.25,0.22,-0.61,1
-3.37,10.57,-13.19,-0.23,0.07,-0.61,1
0.0,0.0,0.0,-0.16,0.25,-0.86,1
0.0,0.0,0.0,-0.23,0.28,-0.82,1
0.0,0.0,0.0,-0.15,0.33,-0.7,1
0.0,0.0,0.0,-0.15,0.56,-0.72,1
0.0,0.0,0.0,-0.1,0.53,-0.7,1
0.0,0.0,0.0,-0.11,0.45,-0.69,1
0.0,0.0,0.0,-0.12,0.37,-0.69,1
0.0,0.0,0.0,-0.08,0.21,-0.56,1
0.0,0.0,0.0,-0.01,0.19,-0.56,1
0.0,0.0,0.0,-0.17,0.42,-0.45,1
0.0,0.0,0.0,-0.05,0.2,-0.62,1
0.0,0.0,0.0,-0.03,-0.28,-0.68,1
-5.65,7.59,-11.8,0.02,-0.41,-0.76,1
-4.22,5.25,-12.33,0.53,-0.06,-0.67,1
-5.54,5.68,-11.14,0.76,-0.89,-0.93,1
-3.54,5.84,-10.74,1.02,-0.78,-1.25,1
-6.46,3.6,-9.59,0.8,-1.01,-1.37,1
-3.98,2.66,-7.37,0.86,-0.77,-1.44,1
-4.02,1.98,-5.3,0.3,-0.26,-1.28,1
-2.79,0.46,-5.14,0.37,-0.46,-1.27,1
-2.88,-2.55,-4.3,-0.09,-0.28,-1.54,1
-1.49,-4.19,-2.73,0.46,-0.41,-0.38,1
-1.08,-0.85,-2.15,-0.26,0.03,0.1,1
-1.15,0.44,-2.86,-0.08,0.27,0.17,1
-2.89,-1.57,-5.04,-0.49,0.61,-0.01,1
-1.05,-0.62,-4.67,-0.09,0.07,-0.29,1
-1.86,-1.36,-4.48,-0.04,0.03,-0.28,1
-1.88,-0.64,-4.68,-0.16,0.12,-0.19,1
-1.17,-0.54,-4.54,-0.11,-0.1,-0.32,1
-1.6,-1.53,-4.61,-0.14,0.05,-0.36,1
0.0,0.0,0.0,0.1,0.29,-0.44,1
0.0,0.0,0.0,-0.05,-0.26,-0.24,1
0.0,0.0,0.0,0.01,0.17,-0.03,1
0.0,0.0,0.0,-0.03,0.17,0.01,1
0.0,0.0,0.0,-0.03,-0.07,0.0,1
0.0,0.0,0.0,-0.05,-0.13,-0.04,1
0.0,0.0,0.0,-0.11,-0.07,-0.11,1
0.0,0.0,0.0,-0.04,-0.06,-0.21,1
0.0,0.0,0.0,-0.05,-0.14,-0.25,1
0.0,0.0,0.0,0.0,-0.0,-0.28,1
0.0,0.0,0.0,-0.01,-0.09,-0.28,1
0.0,0.0,0.0,-0.06,-0.07,-0.29,1
0.0,0.0,0.0,-0.1,-0.05,-0.29,1
0.0,0.0,0.0,-0.12,-0.08,-0.25,1
0.0,0.0,0.0,-0.15,-0.08,-0.16,1
0.0,0.0,0.0,-0.3,-0.16,-0.24,1
0.0,0.0,0.0,-0.08,-0.03,-0.23,1
0.0,0.0,0.0,-0.16,-0.19,-0.16,1
0.0,0.0,0.0,-0.08,-0.17,-0.17,1
0.0,0.0,0.0,-0.04,0.07,-0.04,1
0.0,0.0,0.0,-0.1,-0.01,-0.03,1
0.0,0.0,0.0,-0.13,-0.11,-0.08,1
0.0,0.0,0.0,-0.02,-0.13,-0.28,1
0.0,0.0,0.0,0.1,0.13,-0.34,1
0.0,0.0,0.0,-0.13,-0.09,-0.12,1
0.0,0.0,0.0,-0.04,-0.04,-0.32,1
0.0,0.0,0.0,0.04,0.01,-0.53,1
0.0,0.0,0.0,0.01,-0.03,-0.51,1
0.0,0.0,0.0,-0.02,-0.15,-0.45,1
-1.98,-1.61,-4.31,-0.09,-0.11,-0.28,1
-1.58,0.05,-3.95,0.03,0.28,-0.24,1
0.0,0.0,0.0,-0.24,-0.61,-0.07,1
0.0,0.0,0.0,-0.12,-0.35,-0.02,1
-1.41,-1.62,-4.78,-0.24,-0.08,0.24,1
-0.84,-1.19,-4.97,-0.14,-0.27,0.33,1
-0.52,-1.58,-4.98,-0.18,-0.34,0.26,1
