AX,AY,AZ,GX,GY,GZ,Result
0.0,0.0,0.0,1.22,1.44,0.82,0
-3.76,-3.21,1.66,1.65,0.91,0.76,0
-3.53,3.05,3.06,1.83,0.67,0.56,0
-5.6,7.99,4.7,2.42,-0.0,1.73,0
-7.19,17.94,5.16,1.62,0.72,2.4,0
-5.37,15.41,8.25,1.44,1.42,1.33,0
-4.96,16.85,6.83,1.78,1.58,0.15,0
-7.29,14.52,2.97,1.48,1.12,0.64,0
-3.92,9.01,-1.59,1.04,0.87,0.71,0
-2.06,5.44,-1.28,1.14,0.18,-0.03,0
-2.24,12.76,-4.45,0.27,0.96,-0.04,0
0.3,14.95,-6.04,0.3,0.96,-0.18,0
-0.56,15.14,-6.45,0.02,0.75,-0.12,0
-0.3,18.04,-6.54,-0.27,0.74,-0.36,0
-1.75,19.22,-5.51,-0.13,0.94,-0.11,0
-1.14,19.68,-5.42,-0.07,0.96,-0.16,0
-1.1,19.14,-5.8,-0.07,0.9,-0.27,0
-1.08,18.85,-6.08,0.0,0.84,-0.24,0
0.0,0.0,0.0,-0.04,0.76,-0.22,0
0.0,0.0,0.0,-0.03,0.7,-0.14,0
0.0,0.0,0.0,-0.14,0.71,-0.18,0
0.0,0.0,0.0,-0.11,0.74,-0.33,0
0.0,0.0,0.0,-0.07,0.78,-0.2,0
0.0,0.0,0.0,-0.09,0.75,-0.34,0
0.0,0.0,0.0,-0.01,0.76,-0.19,0
0.0,0.0,0.0,-0.05,0.71,-0.25,0
0.0,0.0,0.0,-0.03,0.73,-0.2,0
0.0,0.0,0.0,-0.1,0.75,-0.26,0
0.0,0.0,0.0,-0.07,0.74,-0.27,0
0.0,0.0,0.0,-0.0,0.76,-0.27,0
0.0,0.0,0.0,-0.01,0.78,-0.26,0
0.0,0.0,0.0,-0.09,0.8,-0.26,0
0.0,0.0,0.0,-0.16,0.76,-0.25,0
0.0,0.0,0.0,-0.05,0.76,-0.28,0
0.0,0.0,0.0,-0.1,0.75,-0.27,0
0.0,0.0,0.0,-0.1,0.74,-0.28,0
0.0,0.0,0.0,-0.1,0.73,-0.27,0
0.0,0.0,0.0,-0.08,0.75,-0.26,0
0.0,0.0,0.0,-0.07,0.75,-0.28,0
0.0,0.0,0.0,-0.16,0.7,-0.28,0
0.0,0.0,0.0,-0.14,0.71,-0.2,0
0.0,0.0,0.0,-0.11,0.74,-0.3,0
0.0,0.0,0.0,-0.09,0.75,-0.25,0
0.0,0.0,0.0,-0.1,0.74,-0.27,0
0.0,0.0,0.0,-0.08,0.74,-0.24,0
0.0,0.0,0.0,-0.1,0.74,-0.28,0
0.0,0.0,0.0,-0.05,0.75,-0.27,0
0.0,0.0,0.0,-0.07,0.76,-0.26,0
0.0,0.0,0.0,-0.09,0.76,-0.28,0
0.0,0.0,0.0,-0.1,0.73,-0.26,0
0.0,0.0,0.0,-0.07,0.75,-0.28,0
0.0,0.0,0.0,-0.07,0.74,-0.28,0
0.0,0.0,0.0,-0.05,0.76,-0.26,0
0.0,0.0,0.0,-0.06,0.75,-0.27,0
0.0,0.0,0.0,-0.08,0.73,-0.3,0
0.0,0.0,0.0,-0.08,0.73,-0.25,0
0.0,0.0,0.0,-0.07,0.74,-0.3,0
0.0,0.0,0.0,-0.05,0.78,-0.28,0
0.0,0.0,0.0,-0.06,0.73,-0.29,0
0.0,0.0,0.0,-0.07,0.73,-0.26,0
