AX,AY,AZ,GX,GY,GZ,Result
5.88,17.31,-3.49,-1.28,-0.51,-0.34,1
7.32,16.81,-3.05,-1.3,-0.28,0.55,1
11.08,17.84,-3.44,-2.0,0.26,0.89,1
8.73,15.71,-0.2,-2.36,0.92,0.35,1
6.47,11.1,2.62,-2.52,0.95,0.34,1
0.69,6.36,6.37,-2.02,1.01,0.19,1
-0.62,3.23,9.35,-1.31,0.14,1.09,1
7.09,-0.98,5.1,0.69,-1.12,0.61,1
3.66,1.29,6.95,1.38,-0.65,-0.72,1
5.6,5.22,3.99,1.97,-0.52,-0.59,1
5.7,11.24,1.64,1.66,0.66,0.04,1
8.07,14.28,2.64,3.07,0.39,0.54,1
9.2,13.56,-4.33,2.7,0.44,-1.42,1
6.86,16.17,-2.27,1.23,1.4,-0.45,1
5.26,14.1,2.54,1.93,1.41,0.51,1
6.7,17.9,3.03,1.85,1.87,1.73,1
7.6,16.78,4.41,1.65,1.74,2.7,1
10.48,11.78,5.18,2.41,1.08,1.83,1
6.13,9.29,4.2,1.89,-0.52,1.17,1
6.44,-0.81,0.36,-0.02,-0.37,0.81,1
3.79,-1.4,-0.03,-0.71,-0.85,0.51,1
4.0,0.72,3.2,0.74,0.63,-0.53,1
2.73,-0.07,2.11,0.69,-0.28,-0.97,1
5.71,4.08,0.21,-0.19,-0.25,-1.8,1
6.3,11.74,1.01,-1.41,-0.02,-2.04,1
6.09,19.44,4.64,-2.22,-0.03,-1.16,1
5.29,17.59,4.04,-1.19,-0.83,-0.81,1
7.73,20.93,3.72,-1.07,-0.34,-0.28,1
8.56,15.91,-1.64,-1.12,-0.19,-0.36,1
10.36,16.51,-3.16,-1.67,0.19,0.1,1
9.54,12.86,-2.37,-2.59,0.48,0.19,1
8.45,10.67,1.13,-2.67,0.76,0.07,1
6.92,7.8,4.71,-1.8,0.74,-0.04,1
-2.66,6.32,5.93,-2.52,0.16,-0.36,1
2.19,-0.68,8.63,0.82,0.68,1.93,1
7.61,1.04,5.1,0.34,-0.36,0.22,1
3.93,1.57,8.26,1.05,0.14,-0.23,1
2.47,4.35,7.9,1.59,0.48,-0.29,1
4.06,11.71,6.56,0.97,0.14,-0.12,1
5.73,12.34,4.1,2.96,0.3,0.72,1
8.76,13.72,-1.49,3.74,0.66,0.29,1
6.72,18.36,2.63,0.92,1.35,0.58,1
6.31,17.4,4.45,2.06,1.21,0.64,1
6.16,17.48,5.91,2.42,1.77,2.01,1
7.98,16.12,3.76,2.35,1.33,2.24,1
10.65,10.98,4.23,2.12,0.71,2.14,1
4.34,6.42,1.67,1.39,-0.07,1.42,1
0.26,-1.85,-2.35,0.61,-0.2,1.17,1
3.71,-4.08,2.85,-0.65,0.01,0.7,1
6.99,-1.98,2.73,1.18,0.12,-1.07,1
3.03,0.28,2.56,0.66,-0.38,-1.23,1
6.69,4.77,1.9,-0.39,-0.26,-1.89,1
5.44,12.35,1.38,-1.54,0.09,-2.1,1
3.88,19.91,4.18,-1.5,-0.62,-1.29,1
7.08,26.86,-3.23,-1.21,-0.57,-0.69,1
7.67,16.12,1.72,-1.47,0.06,-0.2,1
5.5,16.52,-4.53,-1.52,0.14,0.13,1
10.93,12.34,-2.2,-2.22,0.88,0.96,1
11.94,11.56,1.53,-2.41,0.82,-0.06,1
8.63,7.76,3.79,-2.39,0.77,-0.1,1
1.38,5.15,4.39,-2.23,0.44,-0.88,1
0.66,1.33,6.34,-1.69,1.0,0.71,1
5.48,-0.29,6.37,0.05,-0.41,0.39,1
3.79,0.73,7.23,1.33,-0.34,-0.24,1
2.77,4.98,6.65,1.86,-0.01,-0.1,1
5.17,8.96,6.06,1.86,0.24,0.29,1
7.4,11.8,3.34,3.0,0.29,0.48,1
8.72,15.12,-0.81,2.69,0.41,0.19,1
6.72,23.62,-0.93,2.33,0.9,-0.15,1
5.97,17.0,4.48,2.49,1.03,0.92,1
6.39,15.74,6.0,2.72,1.29,2.02,1
10.9,13.31,6.19,2.7,0.69,2.1,1
8.6,10.55,3.44,2.4,0.85,2.18,1
3.8,2.96,1.84,1.28,-0.62,1.22,1
4.37,-6.02,-3.04,0.72,-0.32,1.12,1
3.84,1.08,3.13,0.11,0.27,0.02,1
3.52,-0.76,0.57,1.34,-0.53,-0.64,1
2.53,0.68,2.0,0.42,-0.18,-1.28,1
5.95,4.98,-3.31,-0.75,0.55,-2.19,1
8.24,10.21,1.15,-2.32,0.38,-2.29,1
3.68,19.25,10.0,-2.19,-1.23,-1.26,1
4.69,23.36,3.91,-0.55,-0.31,0.21,1
10.48,13.04,-3.79,-1.55,-0.1,-0.64,1
9.59,13.84,-3.89,-1.7,0.02,-0.05,1
14.63,12.72,-0.26,-2.62,0.61,-0.08,1
9.73,12.5,3.43,-1.96,0.45,-0.14,1
5.57,9.43,3.22,-1.76,0.8,-0.22,1
-0.21,3.22,5.98,-1.77,0.54,0.44,1
7.46,-3.45,8.09,-0.67,-0.0,1.57,1
1.93,1.53,4.9,0.15,-0.83,-0.62,1
2.42,1.52,5.89,0.89,-0.07,-0.09,1
3.34,5.84,6.12,1.89,0.63,0.5,1
5.32,9.09,6.07,2.4,0.17,0.43,1
10.98,12.74,2.22,3.28,-0.24,0.23,1
12.42,16.14,-5.11,2.19,0.33,-1.29,1
2.67,18.3,2.49,1.43,1.5,0.93,1
4.92,14.44,7.47,2.46,1.19,2.07,1
8.92,13.89,8.09,2.98,0.77,2.52,1
11.77,9.81,4.74,3.44,0.3,1.77,1
3.23,6.5,4.14,2.46,-0.04,1.12,1
4.34,-3.77,-1.08,0.33,-0.79,1.06,1
2.7,1.85,4.45,-0.37,0.13,0.02,1
3.44,0.92,-1.18,0.89,-0.19,-0.74,1
6.04,1.95,-0.45,0.65,0.16,-0.9,1
5.73,1.97,0.81,-0.16,-0.17,-1.6,1
7.34,5.11,1.6,-1.39,-0.16,-1.7,1
7.66,12.63,4.25,-2.3,-0.51,-1.53,1
7.49,19.49,5.75,-1.29,-1.77,-1.08,1
4.62,17.73,-1.64,-1.21,-0.68,-0.21,1
7.12,13.87,-1.68,-1.6,-0.5,0.45,1
11.39,18.15,-2.48,-2.24,0.6,1.26,1
13.9,13.58,1.37,-2.32,0.98,0.6,1
10.93,8.99,3.0,-2.43,0.1,-0.97,1
0.25,6.11,5.17,-1.72,-0.0,-0.04,1
0.33,3.33,7.22,-0.41,0.72,1.68,1
6.81,0.08,6.81,0.35,0.35,0.07,1
1.23,3.11,7.08,0.82,0.21,-0.26,1
1.25,4.17,6.78,1.53,0.29,0.27,1
6.11,8.02,4.98,1.33,0.08,0.33,1
8.8,12.95,3.07,3.55,0.38,0.92,1
11.43,14.85,-2.51,2.94,0.45,0.64,1
7.33,19.03,1.88,1.51,0.97,0.56,1
5.35,16.44,4.93,2.01,0.8,1.17,1
8.12,15.74,7.08,2.66,1.01,2.46,1
11.91,12.74,4.45,3.02,0.7,2.64,1
7.16,13.26,3.26,1.46,-0.32,0.91,1
2.37,2.28,0.78,1.94,-0.11,1.31,1
7.25,-9.09,0.78,-0.59,-0.95,1.09,1
7.63,-0.05,3.12,1.8,0.4,-0.14,1
2.18,-1.21,-0.85,0.7,-0.24,-1.49,1
5.29,3.57,-0.56,-0.18,0.16,-1.94,1
4.9,10.29,2.01,-1.43,0.08,-1.95,1
6.96,13.1,5.16,-2.0,-0.77,-1.82,1
5.84,21.39,9.54,-1.18,-0.9,-0.31,1
7.83,19.11,1.47,-1.4,0.01,-0.03,1
8.48,15.0,-3.05,-1.22,-0.17,-0.11,1
8.86,16.28,-2.35,-1.66,0.09,0.14,1
8.96,13.93,-2.01,-2.2,0.43,0.34,1
